Restaurant Name,Price Range,Restauarant Website
Shoroku,"6,000 - 18,000 JPY",N/A
Point,"22,000 JPY",http://point-accueillir.com/
Oryori Yamada,"20,000 JPY",N/A
Yoshiko,"30,000 - 37,000 JPY",N/A
Kyomachiryori Mitsuya,"6,500 - 17,000 JPY",N/A
Ñ,"8,500 - 17,000 JPY",https://www.enye.jp/
Nishishinsaibashi Yuno,"17,000 - 25,000 JPY",N/A
Enomoto,"22,000 JPY",N/A
il Centrino,"5,000 - 15,000 JPY",http://www.il-centrino.com/
HATSU,"19,000 JPY",https://hatsu-osaka.jp/
Kitashinchi Fukutatei,"19,000 - 25,000 JPY",http://fukutatei.com/
IDÉAL bistro,"3,500 - 15,000 JPY",http://idealfoodflower.com/
Shinchi Yamamoto,"29,000 JPY",N/A
Ono,"28,000 JPY",N/A
Choraku,"16,000 JPY",N/A
Sui,"5,500 - 18,000 JPY",N/A
Hiraishi,"17,000 - 19,000 JPY",N/A
Sosakuwasho Nakashima,"11,000 JPY",N/A
Konoha,"7,000 - 18,000 JPY",N/A
Oimatsu Kitagawa,"9,000 - 27,000 JPY",https://www.oimatsu-kitagawa.com/
Ichiju Nisai Ueno Minoten,"11,000 - 34,000 JPY",https://ichijunisai-ueno.net/
LE PONT DE CIEL,"8,000 - 30,000 JPY",https://pont-de-ciel.co.jp/
agnel d'or,"6,500 - 16,000 JPY",http://www.agneldor.com/
Oimatsu Hisano,"15,000 JPY",N/A
Torisho Ishii,"10,000 JPY",N/A
Utsubohommachi Gaku,"12,000 - 24,000 JPY",https://www.utsubo-gaku.com/
Iwaki,"14,000 - 20,000 JPY",http://k-iwaki.com/
Iroha,"15,000 - 20,000 JPY",N/A
Shintaro,"3,000 - 12,000 JPY",N/A
Différence,"6,000 - 15,000 JPY",http://difference.upper.jp/
Rakushin,"7,000 - 33,000 JPY",N/A
a canto,"11,000 JPY",https://www.a-canto.com/
Pierre,"9,500 - 21,000 JPY",https://www.icosaka.com/
Higashichaya Nakamura,"24,000 - 26,000 JPY",N/A
Man-u,"16,000 - 20,000 JPY",http://www.kagaman.co.jp/
Kaishoku Shimizu,"5,500 - 16,500 JPY",N/A
Sushi Murakami Jiro,"27,000 JPY",N/A
Sushidokoro Amano,"16,000 JPY",N/A
Ayamuya,"4,000 - 7,000 JPY",N/A
Nishino,"18,000 - 20,000 JPY",N/A
La Lucciola,"9,000 - 14,000 JPY",http://lucciola.net/
Zeshin,"9,000 - 16,000 JPY",N/A
La casa TOM Curiosa,"17,000 JPY",http://www.tom-curiosa.com/
P greco,"22,000 - 28,000 JPY",https://www.pgreco.jp/
Temmabashi Fujikawa,"7,000 - 17,000 JPY",https://www.te-fujikawa.com/
TEMPURA HANAGATAMI,"9,500 - 26,000 JPY",https://hanagatami.ritzcarltonosaka.com/
Ajikitcho Horieten,"19,000 - 46,000 JPY",https://ajikitcho.com/
capi,"22,000 - 24,000 JPY",https://capi-osaka.com/
Sushi Minazuki,"21,000 - 27,000 JPY",N/A
La Bécasse,"10,000 - 30,000 JPY",https://www.labecasse1990.com/
Oryori Horikawa,"7,000 - 16,000 JPY",N/A
Teruya,"20,000 JPY",N/A
Yakitori Ichimatsu,"8,500 JPY",N/A
Terada,"5,000 - 20,000 JPY",N/A
La Baie,"13,000 - 37,000 JPY",https://labaie.ritzcarltonosaka.com/
Sushi Yuden,"15,000 - 20,000 JPY",https://www.sushi-yuuden.net/
Kawahara,"7,000 - 17,000 JPY",N/A
Ayamedo,"1,000 - 4,000 JPY",N/A
Chugokusai S.Sawada,"11,000 - 17,000 JPY",N/A
Kagaman,"6,500 - 43,000 JPY",http://www.kagaman.co.jp/
Ajikitcho Bumbuan,"4,000 - 25,000 JPY",https://bunbu-an.jp/
Sumibi Kappo Ishii,"20,000 - 33,000 JPY",N/A
Nishitemma Nakamura,"15,000 JPY",N/A
Masuda,"3,500 - 18,000 JPY",N/A
Yoshino,"5,500 - 14,000 JPY",N/A
YUNiCO,"5,000 - 15,000 JPY",https://y-unico.jp/
Yonemasu,"22,000 JPY",N/A
Sushidokoro Hirokawa,"15,000 - 17,000 JPY",https://sushi-hirokawa.jp/
Naniwaryori Yu,"10,000 - 15,000 JPY",N/A
LIAISON,"7,500 - 16,000 JPY",http://liaison-osaka.com/
ad hoc,"7,500 - 16,000 JPY",http://adhoc2014.jp/
Kappo Hashimoto,"7,000 - 13,000 JPY",N/A
Yunagibashi Takoyasu,"24,000 - 34,000 JPY",N/A
Yugen,"7,000 - 21,000 JPY",N/A
Sushiroku,"13,000 - 16,000 JPY",N/A
Alarde,"14,000 JPY",N/A
Sushi Ohata,"24,000 JPY",N/A
Shunsenwaraku Sanai,"11,000 - 14,000 JPY",N/A
Maison Tateru Yoshino,"7,000 - 25,000 JPY",https://www.anacrowneplaza-osaka.jp/
Unkaku,"5,500 - 37,000 JPY",http://www.unkaku.jp/
Peter Luger,75 - 150 USD,https://www.peterluger.com/
Oxomoco,30 - 75 USD,https://www.oxomoconyc.com/
The Four Horsemen,30 - 85 USD,https://www.fourhorsemenbk.com/
Oxalis,25 - 105 USD,https://www.oxalisnyc.com/
Jeune et Jolie,49 - 90 USD,www.jeune-jolie.com
Soichi,45 - 125 USD,https://www.soichisushi.com/
Bistro Na’s,25 - 300 USD,https://www.bistronas.com/
Sushi Tadokoro,30 - 120 USD,https://www.sushitadokoro.com/
Knife Pleat,22 - 135 USD,https://www.knifepleat.com/
Hana re,200 USD,https://www.hanaresushi.com/
Taco María,45 - 84 USD,https://www.tacomaria.com/
Morihiro,50 - 300 USD,https://morionodera.com/
Orsa & Winston,125 USD,https://www.orsaandwinston.com/
Q Sushi,150 - 300 USD,http://www.qsushila.com/
Shibumi,95 - 195 USD,https://www.shibumidtla.com/
Phenakite,158 USD,https://www.porridgeandpuffs.com/phenakite
Le Comptoir,120 USD,https://www.lecomptoirla.com/
Kali,50 - 75 USD,https://www.kalirestaurant.com/
Osteria Mozza,50 - 75 USD,https://www.osteriamozza.com/
Nozawa Bar,195 USD,https://www.nozawabar.com/
Droit,"19,000 JPY",N/A
Oryori Hiwatashi,"10,000 - 25,000 JPY",N/A
Gion Okada,"9,000 - 19,000 JPY",N/A
Iwasaki,"6,000 - 24,000 JPY",N/A
Tozentei,"6,000 - 33,000 JPY",N/A
Sushi Rakumi,"25,000 - 28,000 JPY",N/A
Oshikoji Okada,"5,500 - 11,000 JPY",N/A
CAINOYA,"40,000 JPY",N/A
naruya,"23,000 - 40,000 JPY",N/A
Reine des prés,"8,000 - 24,000 JPY",http://reine-des-pres.com/
La Biographie···,"13,000 - 43,000 JPY",https://la-biographie.info/
MUNI LA TERRASSE,"7,000 - 13,000 JPY",https://muni-kyoto.com/
Gion Nishimura,"16,000 - 26,000 JPY",https://www.gion-nishimura.com/
Kako Okamoto,"14,000 JPY",N/A
Kodaiji Jugyuan,"19,000 - 64,000 JPY",https://jugyuan.jp/
Gion Fukushi,"19,000 - 37,000 JPY",http://gion-fukushi.jp/
NAKATSUKA,"8,000 - 15,000 JPY",https://nakatsuka-kyoto.com/
Kokyu,"8,500 - 26,000 JPY",http://www.kokyu-kyoto.com/
Kappo Hassun,"11,000 - 22,000 JPY",N/A
Shuhaku,"6,000 - 18,000 JPY",N/A
Shimogamo Saryo,"8,500 - 31,000 JPY",https://www.shimogamosaryo.co.jp/
Kanamean Nishitomiya,"25,000 JPY",https://www.kanamean.co.jp/
TAKAYAMA,"22,000 JPY",https://takayama-kyoto.com/
Sokkon Fujimoto,"8,000 - 22,000 JPY",N/A
Ryoriya Maekawa,"17,000 JPY",https://ryouriya-maekawa.com/
Okina,"5,000 - 15,000 JPY",N/A
Sanso Kyoyamato,"16,000 - 57,000 JPY",https://www.kyoyamato.com/
Mirei,"8,000 - 17,000 JPY",N/A
Aoike,"6,500 - 22,000 JPY",http://aoike-kyoto.com/
cenci,"7,500 - 16,000 JPY",https://cenci-kyoto.com/
Tominokoji Yamagishi,"44,000 JPY",http://www.tominokoji-yamagishi.com/
Gokomachi Tagawa,"22,000 JPY",https://www.gokoumachi-tagawa.com/
Oryori Mashita,"5,000 - 25,000 JPY",http://kyoto-mashita.com/
MUNI ALAIN DUCASSE,"27,000 - 39,000 JPY",https://muni-kyoto.com/
Torisaki,"8,500 JPY",N/A
Honke Tankuma Honten,"8,000 - 64,000 JPY",http://www.tankuma.jp/
Tempura Mizuki,"9,000 - 25,000 JPY",https://www.ritzcarlton.com/jp/hotels/japan/kyoto
