Restaurant Name,Price Range,Restauarant Website
Kashiwaya,"13,000 - 43,000 JPY",https://jp-kashiwaya.com/senriyama/
HAJIME,"40,000 - 54,000 JPY",http://www.hajime-artistes.com/
Taian,"20,000 JPY",N/A
Isshisoden Nakamura,"26,000 - 38,000 JPY",http://www.kyoryori-nakamura.com/
Kikunoi Honten,"17,000 - 64,000 JPY",https://kikunoi.jp/
Gion Sasaki,"8,000 - 37,000 JPY",http://gionsasaki.com/
Mizai,"50,000 JPY",https://mizai.jp/
Hyotei,"26,000 - 64,000 JPY",http://hyotei.co.jp/
Maeda,"49,000 JPY",N/A
The French Laundry,350 - 450 USD,https://www.thomaskeller.com/tfl
SingleThread,375 USD,https://www.singlethreadfarms.com/
Manresa,325 USD,https://www.manresarestaurant.com/
Atelier Crenn,298 USD,https://www.ateliercrenn.com/
Benu,350 USD,https://www.benusf.com/
Quince,195 - 298 USD,https://www.quincerestaurant.com/
Frantzén,"3,800 SEK",https://www.restaurantfrantzen.com/
Maaemo,"3,500 NOK",www.maaemo.no
Geranium,"2,800 DKK",https://www.geranium.dk/
noma,"2,800 DKK",http://www.noma.dk/
Odette,248 - 358 SGD,https://www.odetterestaurant.com/
Les Amis,155 - 480 SGD,https://www.lesamis.com.sg/
Zén,450 SGD,https://www.restaurantzen.com/
Le Palais,"2,000 - 5,000 TWD",https://www.palaisdechinehotel.com/
Eleven Madison Park,125 - 285 USD,https://www.elevenmadisonpark.com/
Per Se,355 USD,http://www.perseny.com/
Masa,595 USD,https://www.masanyc.com/
Le Bernardin,93 - 228 USD,https://www.le-bernardin.com/
Chef's Table at Brooklyn Fare,395 USD,http://www.brooklynfare.com/
Alinea,210 - 365 USD,https://www.alinearestaurant.com/
The Inn at Little Washington,238 USD,https://www.theinnatlittlewashington.com/
Inter Scaldes,140 - 380 EUR,https://www.interscaldes.eu/
De Librije,190 - 253 EUR,https://www.librije.com/
Victor's Fine Dining by christian bau,175 - 275 EUR,https://www.victors-fine-dining.de/
Aqua,225 EUR,www.restaurant-aqua.com
Restaurant Überfahrt Christian Jürgens,259 - 319 EUR,www.althoffcollection.com
The Table Kevin Fehling,230 EUR,http://www.the-table-hamburg.de/
Atelier,195 - 255 EUR,https://www.bayerischerhof.de/
Waldhotel Sonnora,191 - 249 EUR,www.hotel-sonnora.de
temporaire - Schwarzwaldstube,150 - 245 EUR,https://www.traube-tonbach.de/
Rutz,198 - 245 EUR,https://www.rutz-restaurant.de/
Restaurant Bareiss,150 - 305 EUR,www.bareiss.com
Vendôme,240 - 285 EUR,www.schlossbensberg.com
Restaurant de l'Hôtel de Ville,185 - 390 CHF,https://www.restaurantcrissier.com/
Cheval Blanc by Peter Knogl,151 - 270 CHF,https://www.chevalblancbasel.com/
Schloss Schauenstein,190 - 330 CHF,https://www.schauenstein.ch/
Jade Dragon,"400 - 2,000 MOP",https://www.cityofdreamsmacau.com/
Robuchon au Dôme,"988 - 3,500 MOP",https://www.grandlisboahotels.com/
The Eight,"400 - 3,000 MOP",https://www.grandlisboahotels.com/
8 1/2 Otto e Mezzo - Bombana,"700 - 2,080 HKD",https://www.ottoemezzobombana.com/
T'ang Court,"400 - 1,700 HKD",https://www.langhamhotels.com/hongkong
Sushi Shikon,"2,000 - 3,500 HKD",https://www.sushi-shikon.com/
Caprice,"745 - 2,600 HKD",www.fourseasons.com/hongkong
Forum,"300 - 2,000 HKD",www.forumrestaurant1977.com
Lung King Heen,"500 - 2,980 HKD",https://www.fourseasons.com/hongkong
L'Atelier de Joël Robuchon,"680 - 2,600 HKD",https://www.robuchon.hk/
Restaurant Gordon Ramsay,110 - 195 GBP,https://www.gordonramsayrestaurants.com/
Fat Duck,325 GBP,https://www.thefatduck.co.uk/
Hélène Darroze at The Connaught,85 - 185 GBP,https://www.the-connaught.co.uk/restaurants-bars/helene-darroze-at-the-connaught/
CORE by Clare Smyth,105 - 165 GBP,https://www.corebyclaresmyth.com/
Sketch (The Lecture Room & Library),145 - 165 GBP,https://www.sketch.london/
Waterside Inn,140 - 188 GBP,www.waterside-inn.co.uk
Alain Ducasse at The Dorchester,70 - 170 GBP,https://www.alainducasse-dorchester.com/
Le Louis XV - Alain Ducasse à l'Hôtel de Paris,180 - 370 EUR,https://www.ducasse-paris.com/
Assiette Champenoise,145 - 335 EUR,https://www.assiettechampenoise.com/
Les Prés d'Eugénie - Michel Guérard,265 - 295 EUR,https://www.lespresdeugenie.com/
Georges Blanc,225 - 310 EUR,https://www.georgesblanc.com/
La Vague d'Or - Cheval Blanc St-Tropez,240 - 375 EUR,https://www.chevalblanc.com/
Mirazur,320 EUR,https://www.mirazur.fr/
René et Maxime Meilleur,179 - 345 EUR,https://www.la-bouitte.com/
Alléno Paris au Pavillon Ledoyen,230 - 395 EUR,https://www.yannick-alleno.com/
Le 1947,270 - 420 EUR,https://www.chevalblanc.com/courchevel
AM par Alexandre Mazzia,115 - 265 EUR,http://www.alexandremazzia.com/
Pic,320 EUR,https://www.anne-sophie-pic.com/
Troisgros - Le Bois sans Feuilles,120 - 550 EUR,https://www.troisgros.com/
Pierre Gagnaire,98 - 400 EUR,https://www.pierregagnaire.com/
Le Pré Catelan,140 - 290 EUR,http://www.precatelanparis.com/
L'Ambroisie,230 - 330 EUR,https://www.ambroisie-paris.com/
Épicure,185 - 467 EUR,https://www.oetkercollection.com/fr/hotels/le-bristol-paris/
Christophe Bacquié,205 - 325 EUR,https://www.hotelducastellet.com/
Maison Lameloise,85 - 260 EUR,https://www.lameloise.fr/
Enrico Bartolini al Mudec,180 - 250 EUR,https://www.enricobartolini.net/
Mirazur,320 EUR,https://www.mirazur.fr/
Restaurant Überfahrt Christian Jürgens,259 - 319 EUR,www.althoffcollection.com
Da Vittorio,100 - 300 EUR,https://www.davittorio.com/
Dal Pescatore,120 - 250 EUR,https://www.dalpescatore.com/
St. Hubertus,280 - 310 EUR,https://www.st-hubertus.it/
Osteria Francescana,270 - 320 EUR,https://www.osteriafrancescana.it/
Le Calandre,150 - 225 EUR,https://www.alajmo.it/
Enoteca Pinchiorri,150 - 345 EUR,http://www.enotecapinchiorri.com/
Amador,35 - 275 EUR,http://www.restaurant-amador.com/
Uliassi,150 - 200 EUR,https://www.uliassi.it/
La Pergola,170 - 290 EUR,https://www.romecavalieri.com/lapergola
Reale,140 - 200 EUR,https://www.nikoromito.com/reale/
Kohaku,"43,000 JPY",https://kagurazaka-kohaku.jp/
Kagurazaka Ishikawa,"43,000 JPY",http://www.kagurazaka-ishikawa.co.jp/
RyuGin,"49,000 JPY",https://www.nihonryori-ryugin.com/
L'OSIER,"13,000 - 44,000 JPY",https://losier.shiseido.co.jp/
Sushi Yoshitake,"38,000 JPY",http://sushi-yoshitake.com/
Azabu Kadowaki,"26,000 - 70,000 JPY",N/A
Kanda,"37,000 - 43,000 JPY",http://www.nihonryori-kanda.com/
Martín Berasategui,191 - 290 EUR,www.martinberasategui.com
Akelaŕe,240 EUR,www.akelarre.net
Quique Dacosta,210 EUR,www.quiquedacosta.es
Cenador de Amós,197 - 235 EUR,www.cenadordeamos.com
L'OSIER,"13,000 - 44,000 JPY",https://losier.shiseido.co.jp/
Sazenka,"34,000 - 73,000 JPY",https://sazenka.com/
Kagurazaka Ishikawa,"43,000 JPY",http://www.kagurazaka-ishikawa.co.jp/
Kanda,"37,000 - 43,000 JPY",http://www.nihonryori-kanda.com/
L'Effervescence,"34,000 JPY",http://www.leffervescence.jp/
Quintessence,"33,000 JPY",https://www.quintessence.jp/
Azabu Kadowaki,"26,000 - 70,000 JPY",N/A
Joël Robuchon,"23,000 - 54,000 JPY",https://www.robuchon.jp/
RyuGin,"49,000 JPY",https://www.nihonryori-ryugin.com/
Sushi Yoshitake,"38,000 JPY",http://sushi-yoshitake.com/
Kohaku,"43,000 JPY",https://kagurazaka-kohaku.jp/
Makimura,"27,000 JPY",N/A
Enoteca Pinchiorri,150 - 345 EUR,http://www.enotecapinchiorri.com/
Dal Pescatore,120 - 250 EUR,https://www.dalpescatore.com/
Le Calandre,150 - 225 EUR,https://www.alajmo.it/
Reale,140 - 200 EUR,https://www.nikoromito.com/reale/
Piazza Duomo,270 - 300 EUR,https://www.piazzaduomoalba.it/
Osteria Francescana,270 - 320 EUR,https://www.osteriafrancescana.it/
Enrico Bartolini al Mudec,180 - 250 EUR,https://www.enricobartolini.net/
St. Hubertus,280 - 310 EUR,https://www.st-hubertus.it/
Da Vittorio,100 - 300 EUR,https://www.davittorio.com/
Uliassi,150 - 200 EUR,https://www.uliassi.it/
La Pergola,170 - 290 EUR,https://www.romecavalieri.com/lapergola
Gaon,"120,000 - 240,000 KRW",http://gaonkr.com
La Yeon,"109,000 - 280,000 KRW",https://www.shilla.net/seoul
Xin Rong Ji (Xinyuan South Road),"400 - 2,000 CNY",N/A
King's Joy,"500 - 1,399 CNY",N/A
Ultraviolet by Paul Pairet,"4,000 - 8,888 CNY",N/A
Amador,35 - 275 EUR,http://www.restaurant-amador.com/
