ICAO_Code,Airport_Name,City_Town,Country,Latitude_Decimal_Degrees,Longitude_Decimal_Degrees
AYMD,MADANG,MADANG,PAPUA NEW GUINEA,-5.207000000000001,145.789
AYMH,MOUNT HAGEN,MOUNT HAGEN,PAPUA NEW GUINEA,-5.8260000000000005,144.296
AYNZ,NADZAB,NADZAB,PAPUA NEW GUINEA,-6.57,146.726
AYPY,PORT MORESBY JACKSONS INTERNATIONAL,PORT MORESBY,PAPUA NEW GUINEA,-9.443,147.22
AYWK,WEWAK INTERNATIONAL,WEWAK,PAPUA NEW GUINEA,-3.5839999999999996,143.66899999999998
BGBW,NARSARSUAQ,NARSSARSSUAQ,GREENLAND,61.161,-45.427
BGCO,NERLERIT INAAT CONSTABLE PYNT,NERLERIT INAAT,GREENLAND,70.73899999999999,-22.646
BGGH,NUUK,GODTHAAB,GREENLAND,64.191,-51.678000000000004
BGJN,JACOBSHAVN,JAKOBSHAVN,GREENLAND,69.233,-51.067
BGKK,KULUSUK,KULUSUK,GREENLAND,65.583,-37.15
BGSF,KANGERLUSSUAQ SONDRE STROMFJORD,SONDRESTROM,GREENLAND,67.017,-50.68899999999999
BGTL,THULE AIR BASE,THULE,GREENLAND,76.531,-68.703
BIAR,AKUREYRI,AKUREYRI,ICELAND,65.66,-18.072
BIEG,EGILSSTADIR,EGILSSTADIR,ICELAND,65.283,-14.401
BIHN,HORNAFJORDUR,HOFN,ICELAND,64.296,-15.227
BIHU,HUSAVIK,HUSAVIK,ICELAND,65.952,-17.426
BIIS,ISAFJORDUR,ISAFJORDUR,ICELAND,66.058,-23.135
BIKF,KEFLAVIK NAS,KEFLAVIK,ICELAND,63.985,-22.605999999999998
BIKP,KOPASKER,KOPASKER,ICELAND,66.314,-16.461
BIPA,PATREKSFJORDUR,PATREKSFJORDUR,ICELAND,65.556,-23.965
BIRK,REYKJAVIK,REYKJAVIK,ICELAND,64.13,-21.941
BISI,SIGLUFJORDHUR,SIGLUFJORDUR,ICELAND,66.133,-18.917
BIVM,VESTMANNAEYJAR,VESTMANNAEYJAR,ICELAND,63.424,-20.279
CYAM,SAULT STE MARIE,SAULT SAINTE MARIE,CANADA,46.485,-84.509
CYAV,WINNIPEG ST ANDREWS,WINNIPEG,CANADA,50.056000000000004,-97.03200000000001
