name,latitude,longitude,city,region,cuisine,Price Range,Restauarant Website,michelin_stars
Kilian Stuba,47.34858,10.17114,Kleinwalsertal,Austria,Creative,110 - 140 EUR,https://www.travelcharme.com/,1
Pfefferschiff,47.83787,13.07917,Hallwang,Austria,Classic cuisine,65 - 189 EUR,https://www.pfefferschiff.at/,1
Esszimmer,47.80685,13.03409,Salzburg,Austria,Creative,45 - 128 EUR,https://www.esszimmer.com/,1
Carpe Diem,47.80001,13.04006,Salzburg,Austria,Market cuisine,,,1
Edvard,48.216503,16.36852,Wien,Austria,Modern cuisine,60 - 158 EUR,https://www.kempinski.com/vienna,1
Das Loft,48.21272,16.37931,Wien,Austria,Modern cuisine,,,1
Pramerl & the Wolf,48.20945,16.37174,Wien,Austria,Creative,110 - 130 EUR,https://www.pramerlandthewolf.com/,1
Walter Bauer,48.20923,16.37672,Wien,Austria,Classic cuisine,52 - 79 EUR,,1
SHIKI,48.204067,16.37098,Wien,Austria,Japanese,115 - 145 EUR,https://www.shiki.at/,1
Tian,48.20513,16.37456,Wien,Austria,Vegetarian,49 - 123 EUR,https://www.tian-restaurant.com/,1
aend,48.18957,16.34115,Wien,Austria,Modern cuisine,,,1
Le Ciel by Toni Mörwald,48.20209,16.37156,Wien,Austria,Classic cuisine,,,1
Chez TJ,37.39468,-122.08044,South San Francisco,California,Contemporary,,,1
Protégé,37.427853,-122.14362,South San Francisco,California,Contemporary,65 - 210 USD,https://www.protegepaloalto.com/,1
Madera,37.42014,-122.21151,San Francisco,California,Contemporary,50 - 150 USD,https://www.maderasandhill.com/,1
The Village Pub,37.42897,-122.25178,San Francisco,California,Contemporary,45 - 85 USD,https://www.thevillagepub.net/,1
Plumed Horse,37.25648,-122.03537,South San Francisco,California,Contemporary,70 - 195 USD,https://www.plumedhorse.com/,1
Wakuriya,37.52114,-122.3366,San Francisco,California,Japanese,148 USD,https://www.wakuriya.com/,1
Sushi Yoshizumi,37.565075,-122.3211,San Francisco,California,Japanese,,,1
Rasa,37.577522,-122.345985,San Francisco,California,Indian,47 - 88 USD,https://www.rasaindian.com/,1
Maum,37.72669,-122.414215,South San Francisco,California,Korean,,,1
Al's Place,37.748924,-122.42013,San Francisco,California,Californian,58 - 88 USD,https://www.alsplacesf.com/,1
Aster,37.755054,-122.423134,San Francisco,California,Californian,,,1
Omakase,37.77077,-122.40298,San Francisco,California,Japanese,75 - 150 USD,https://www.omakasesf.com/,1
Commonwealth,37.761395,-122.41946,San Francisco,California,Contemporary,,,1
Luce,37.78194,-122.40498,San Francisco,California,Contemporary,,,1
Birdsong,37.779495,-122.41048,San Francisco,California,American,,,1
In Situ,37.785633,-122.40113,San Francisco,California,International,,,1
Mourad,37.78695,-122.39987,San Francisco,California,Moroccan,43 - 155 USD,https://www.mouradsf.com/,1
Hashiri,37.783062,-122.40754,San Francisco,California,Japanese,,,1
Angler,37.793167,-122.39213,San Francisco,California,Contemporary,38 - 100 GBP,https://www.anglerrestaurant.com/,1
Rich Table,37.774914,-122.42271,San Francisco,California,Contemporary,,,1
Kin Khao,37.785267,-122.40951,San Francisco,California,Thai,25 - 70 USD,https://www.kinkhao.com/,1
Michael Mina,37.79349,-122.399574,San Francisco,California,Contemporary,,,1
Sons & Daughters,37.79037,-122.40917,San Francisco,California,Contemporary,225 USD,https://www.sonsanddaughterssf.com/,1
Mister Jiu's,37.79371,-122.406654,San Francisco,California,Chinese,,,1
Nico,37.795803,-122.40333,San Francisco,California,Contemporary,,,1
jū-ni,37.77672,-122.43886,San Francisco,California,Japanese,165 USD,https://www.junisf.com/,1
Keiko à Nob Hill,37.793106,-122.41445,San Francisco,California,Fusion,,,1
The Progress,37.78371,-122.43282,San Francisco,California,Californian,41 - 78 USD,https://www.theprogress-sf.com/,1
State Bird Provisions,37.783737,-122.43283,San Francisco,California,American,25 - 90 USD,https://www.statebirdsf.com/,1
Octavia,37.787857,-122.42709,San Francisco,California,Californian,,,1
SPQR,37.78732,-122.43375,San Francisco,California,Italian,39 - 120 USD,https://www.spqrsf.com/,1
Lord Stanley,37.79592,-122.42208,San Francisco,California,Californian,,,1
Kinjo,37.79699,-122.422005,San Francisco,California,Japanese,,,1
Sorrel,37.788334,-122.44614,San Francisco,California,Californian,110 - 148 USD,https://www.sorrelrestaurant.com/,1
Gary Danko,37.80599,-122.42066,San Francisco,California,Contemporary,89 - 139 USD,https://www.garydanko.com/,1
Bar Crenn,37.798435,-122.43581,San Francisco,California,French,85 - 165 USD,https://www.barcrenn.com/,1
Spruce,37.78772,-122.45264,San Francisco,California,Californian,50 - 75 USD,https://www.sprucesf.com/,1
Wako,37.783035,-122.461525,San Francisco,California,Japanese,95 - 135 USD,https://www.sushiwakosf.com/,1
Madcap,37.974712,-122.56168,San Francisco,California,Contemporary,110 USD,https://www.madcapmarin.com/,1
Aubergine,36.55406,-121.924355,Monterey,California,Contemporary,205 USD,https://www.auberginecarmel.com/,1
Kenzo,38.29924,-122.28928,San Francisco,California,Japanese,185 - 210 USD,https://www.kenzonapa.com/,1
La Toque,38.30351,-122.28349,San Francisco,California,Contemporary,,,1
Bouchon,38.40258,-122.3619,San Francisco,California,French,,,1
Auberge du Soleil,38.49199,-122.40534,San Francisco,California,Californian,,,1
Farmhouse Inn & Restaurant,38.49039,-122.8835,San Francisco,California,Californian,,,1
The Kitchen,38.58894,-121.41424,Sacramento,California,Contemporary,155 USD,https://www.thekitchenrestaurant.com/,1
Madrona Manor,38.60428,-122.88647,San Francisco,California,Contemporary,,,1
Harbor House,39.135876,-123.719444,San Francisco,California,Californian,,,1
Shin Sushi,34.15784,-118.49415,Los Angeles,California,Japanese,100 - 120 USD,,1
Rustic Canyon,34.024952,-118.49118,Los Angeles,California,Californian,62 - 97 USD,www.rusticcanyonrestaurant.com,1
Dialogue,34.01679,-118.49748,Los Angeles,California,Contemporary,,,1
Kato,34.041683,-118.460915,Los Angeles,California,Asian,50 - 75 USD,https://www.katorestaurant.com/,1
CUT,34.067036,-118.401024,Los Angeles,California,Steakhouse,,,1
Nozawa Bar,34.0683,-118.39849,Los Angeles,California,Japanese,195 USD,https://www.nozawabar.com/,1
Shunji,34.028496,-118.45195,Los Angeles,California,Japanese,,,1
Maude,34.064346,-118.39904,Los Angeles,California,Contemporary,,,1
Mori Sushi,34.033398,-118.44229,Los Angeles,California,Japanese,75 - 150 USD,https://www.morisushila.com/,1
Trois Mec,34.084255,-118.33851,Los Angeles,California,Contemporary,,,1
Osteria Mozza,34.08342,-118.338974,Los Angeles,California,Italian,50 - 75 USD,https://www.osteriamozza.com/,1
Kali,34.083443,-118.32455,Los Angeles,California,Californian,50 - 75 USD,https://www.kalirestaurant.com/,1
Le Comptoir,34.06354,-118.30057,Los Angeles,California,Californian,120 USD,https://www.lecomptoirla.com/,1
Q Sushi,34.046883,-118.255844,Los Angeles,California,Japanese,150 - 300 USD,http://www.qsushila.com/,1
Shibumi,34.044155,-118.256134,Los Angeles,California,Japanese,95 - 195 USD,https://www.shibumidtla.com/,1
Hayato,34.03311,-118.24265,Los Angeles,California,Japanese,,,1
Bistro Na's,34.104412,-118.07159,Los Angeles,California,Chinese,,,1
Orsa & Winston,33.92145,-118.275406,Los Angeles,California,Fusion,125 USD,https://www.orsaandwinston.com/,1
Taco María,33.69475,-117.924965,Costa Mesa,California,Mexican,45 - 84 USD,https://www.tacomaria.com/,1
Hana re,33.67759,-117.886566,Costa Mesa,California,Japanese,200 USD,https://www.hanaresushi.com/,1
Addison,32.939903,-117.20013,San Diego,California,Contemporary,,,1
Parachute,41.94483,-87.70638,Chicago,Chicago,Fusion,50 - 75 USD,https://www.parachuterestaurant.com/,1
Goosefoot,41.96856,-87.69596,Chicago,Chicago,Contemporary,145 - 165 USD,https://www.goosefoot.net/,1
Elizabeth,41.969555,-87.688736,Chicago,Chicago,Contemporary,75 - 150 USD,https://www.elizabeth-restaurant.com/,1
EL Ideas,41.863,-87.68686,Chicago,Chicago,Contemporary,75 - 150 USD,https://www.elideas.com/,1
