name,latitude,longitude,city,region,cuisine,Price Range,Restauarant Website,michelin_stars
SENNS.Restaurant,47.83636,13.06389,Salzburg,Austria,Creative,85 - 205 EUR,https://www.senns.restaurant/,2
Ikarus,47.79536,13.00695,Salzburg,Austria,Creative,140 - 210 EUR,https://www.hangar-7.com/,2
Mraz & Sohn,48.23129,16.37637,Wien,Austria,Creative,145 EUR,https://www.mrazundsohn.at/,2
Konstantin Filippou,48.21056,16.37996,Wien,Austria,Modern cuisine,56 - 189 EUR,https://www.konstantinfilippou.com/,2
Silvio Nickol Gourmet Restaurant,48.20558,16.37693,Wien,Austria,Modern cuisine,23 - 165 EUR,https://www.palais-coburg.com/,2
Steirereck im Stadtpark,48.20229,16.3805,Wien,Austria,Creative,74 - 169 EUR,https://www.steirereck.at/,2
Baumé,37.4285,-122.14272,South San Francisco,California,Contemporary,,,2
Commis,37.82476,-122.25505,San Francisco,California,Contemporary,189 USD,www.commisrestaurant.com,2
Californios,37.75555,-122.417145,San Francisco,California,Mexican,,,2
Lazy Bear,37.760204,-122.41969,San Francisco,California,Contemporary,,,2
Saison,37.76327,-122.41543,San Francisco,California,Californian,,,2
Campton Place,37.78923,-122.40665,San Francisco,California,Indian,,,2
Coi,37.79812,-122.40331,San Francisco,California,Contemporary,,,2
Acquerello,37.79167,-122.42131,San Francisco,California,Italian,,,2
Urasawa,34.067352,-118.40067,Los Angeles,California,Japanese,,,2
Sushi Ginza Onodera,34.08238,-118.37654,Los Angeles,California,Japanese,300 USD,https://www.onodera-group.com/,2
Somni,34.070095,-118.37649,Los Angeles,California,Contemporary,,,2
Providence,34.083523,-118.33019,Los Angeles,California,Seafood,225 - 475 USD,https://www.providencela.com/,2
n/naka,34.02526,-118.41206,Los Angeles,California,Contemporary,,,2
Vespertine,34.024204,-118.38166,Los Angeles,California,Contemporary,295 USD,www.vespertine.la,2
Smyth,41.885,-87.660736,Chicago,Chicago,Contemporary,225 - 280 USD,https://www.smythandtheloyalist.com/,2
Oriole,41.886196,-87.64513,Chicago,Chicago,Contemporary,215 USD,https://www.oriolechicago.com/,2
Acadia,41.85904,-87.62562,Chicago,Chicago,Contemporary,,,2
KOKS,62.13667,-7.022025,Leynar,Denmark,Creative,,,2
Henne Kirkeby Kro,55.72682,8.242021,Henne,Denmark,Classic cuisine,"650 - 1,495 DKK",https://www.hennekirkebykro.dk/,2
a‚o‚c,55.68305,12.58921,København,Denmark,Modern cuisine,,,2
noma,55.68332,12.61006,København,Denmark,Creative,,,2
Kadeau Copenhagen,55.67219,12.58848,København,Denmark,Modern cuisine,,,2
Spondi,37.96525,23.742971,Athína,Greece,French,120 - 165 EUR,https://www.spondi.gr/,2
Sun Tung Lok,22.30099,114.17221,Hong Kong,Hong Kong,Cantonese,,,2
Yan Toh Heen,22.293337,114.17395,Hong Kong,Hong Kong,Cantonese,,,2
Tin Lung Heen,22.30357,114.16007,Hong Kong,Hong Kong,Cantonese,,,2
Tenku RyuGin,22.30331,114.16021,Hong Kong,Hong Kong,Japanese,,,2
Forum,22.281616,114.1824,Hong Kong,Hong Kong,Cantonese,,,2
Sushi Saito,22.286467,114.15677,Hong Kong,Hong Kong,Sushi,,,2
Pierre,22.282127,114.15948,Hong Kong,Hong Kong,French contemporary,,,2
Ying Jee Club,22.284338,114.156654,Hong Kong,Hong Kong,Cantonese,,,2
Écriture,22.28315,114.1554,Hong Kong,Hong Kong,French contemporary,,,2
Ta Vie,22.282766,114.15529,Hong Kong,Hong Kong,Innovative,,,2
Amber,22.280596,114.15764,Hong Kong,Hong Kong,French contemporary,,,2
Kashiwaya,22.280643,114.15674,Hong Kong,Hong Kong,Japanese,,,2
Onyx,47.49712,19.05067,Budapest,Hungary,Modern cuisine,,,2
Feng Wei Ju,22.18996,113.54794,Macau,Macau,Hunanese and Sichuan,,,2
Golden Flower,22.18753,113.54806,Macau,Macau,Chinese,,,2
Mizumi (Macau),22.188755,113.54488,Macau,Macau,Japanese,,,2
